decade,year,title,author,order
2000,2003,Hey Ya!,OutKast ,1
2000,2009,I Gotta Feeling,Black Eyed Peas ,2
2000,2002,Lose Yourself,Eminem ,3
2000,2004,Yeah!,Usher with Lil’ Jon & Ludacris ,4
2000,2007,Umbrella,Rihanna with Jay-Z ,5
2000,2003,Crazy in Love, Beyoncé with Jay-Z ,6
2000,2006,Crazy,Gnarls Barkley ,7
2000,2005,We Belong Together,Mariah Carey ,8
2000,2007,Low,Flo Rida with T-Pain ,9
2000,2008,Single Ladies (Put a Ring on It), Beyoncé ,10
2000,2008,Viva La Vida,Coldplay ,11
2000,2009,Poker Face,Lady Gaga ,12
2000,2009,Boom Boom Pow,Black Eyed Peas ,13
2000,2009,Tik Tok,Ke$ha ,14
2000,2005,Gold Digger,Kanye West with Jamie Foxx ,15
2000,2007,Bleeding Love,Leona Lewis ,16
2000,2008,Just Dance,Lady Gaga with Colby O’Donnis ,17
2000,2008,I’m Yours,Jason Mraz ,18
2000,2002,In Da Club,50 Cent ,19
2000,2006,Irreplaceable, Beyoncé ,20
2000,2006,Sexyback,Justin Timberlake ,21
2000,2006,Hips Don’t Lie,Shakira with Wyclef Jean ,22
2000,2002,Hot in Herre,Nelly ,23
2000,2001,Fallin’,Alicia Keys ,24
2000,2005,You’re Beautiful,James Blunt ,25
2000,2007,No One,Alicia Keys ,26
2000,2001,Can’t Get You Out of My Head,Kylie Minogue ,27
2000,2008,I Kissed a Girl,Katy Perry ,28
2000,2001,How You Remind Me,Nickelback ,29
2000,2007,Apologize,One Republic with Timbaland ,30
2000,2004,Boulevard of Broken Dreams,Green Day ,31
2000,2009,Need You Now,Lady Antebellum ,32
2000,2009,Empire State of Mind,Jay-Z with Alicia Keys ,33
2000,2009,Bad Romance,Lady Gaga ,34
2000,2000,Music,Madonna ,35
2000,2005,Bad Day,Daniel Powter ,36
2000,2002,Dilemma,Nelly with Kelly Rowland ,37
2000,2000,Stan,Eminem with Dido ,38
2000,2008,Love Story,Taylor Swift ,39
2000,2000,Beautiful Day,U2 ,40
2000,2006,Rehab,Amy Winehouse ,41
2000,2003,Seven Nation Army,The White Stripes ,42
2000,2007,Big Girls Don’t Cry (Personal),Fergie ,43
2000,2004,Mr. Brightside,The Killers ,44
2000,2004,Take Me Out,Franz Ferdinand ,45
2000,2008,You Belong with Me,Taylor Swift ,46
2000,2002,Clocks,Coldplay ,47
2000,2000,Kryptonite,3 Doors Down ,48
2000,2000,Independent Women,Destiny’s Child ,49
2000,2007,Hey There Delilah,Plain White T’s ,50
2000,2008,Use Somebody,Kings of Leon ,51
2000,2001,Get Ur Freak On,Missy Elliott ,52
2000,2001,Lady Marmalade,"Christina Aguilera with Lil’ Kim, Mya, & Pink ",53
2000,2006,Chasing Cars,Snow Patrol ,54
2000,2003,The Reason,Hoobastank ,55
2000,2009,"Hey, Soul Sister",Train ,56
2000,2008,Disturbia,Rihanna ,57
2000,2002,Complicated,Avril Lavigne ,58
2000,2004,Since U Been Gone,Kelly Clarkson ,59
2000,2008,Hot N Cold,Katy Perry ,60
2000,2006,Promiscuous,Nelly Furtado with Timbaland ,61
2000,2004,Toxic,Britney Spears ,62
2000,2000,I Hope You Dance,Lee Ann Womack ,63
2000,2009,Right Round,Flo Rida & Ke$ha  ,64
2000,2007,Stronger,Kanye West with Daft Punk ,65
2000,2000,Yellow,Coldplay ,66
2000,2000,Ms. Jackson,OutKast ,67
2000,2003,Where Is the Love?,Black Eyed Peas with Justin Timberlake ,68
2000,2002,Without Me,Eminem ,69
