,palabras
0,de
1,la
2,que 
3,el
4,en
5,y
6,a
7,los
8,se
9,del
10,las
11,un
12,por
13,con 
14,no
15,una 
16,su
17,para
18,es
19,al
20,lo
21,como 
22,más 
23,o
24,pero
25,sus 
26,le
27,ha
28,me 
29,si
30,sin
31,sobre
32,este
33,ya
34,entre
35,cuando 
36,todo
37,esta
38,ser
39,son 
40,dos 
41,también 
42,fue
43,había
44,era
45,muy 
46,años 
47,hasta
48,desde 
49,está
50,mi
51,porque 
52,qué 
53,sólo
54,han 
55,yo
56,hay 
57,vez
58,puede 
59,todos
60,así
61,nos 
62,ni
63,parte
64,tiene
65,él
66,uno 
67,donde 
68,bien
69,tiempo 
70,mismo  
71,ese 
72,ahora
73,cada 
74,e
75,vida
76,otro
77,después 
78,te
79,otros
80,aunque 
81,esa 
82,eso 
83,hace 
84,otra
85,gobierno
86,tan
87,durante
88,siempre 
89,día
90,tanto
91,ella
92,tres
93,sí
94,dijo
95,sido
96,gran
97,país
98,según 
99,menos  
100,mundo  
101,año 
102,antes
103,estado 
104,contra
105,sino
106,forma
107,caso 
108,nada 
109,hacer
110,general
111,estaba 
112,poco 
113,estos
114,presidente
115,mayor 
116,ante
117,unos 
118,les
119,algo
120,hacia
121,casa 
122,ellos
123,ayer
124,hecho 
125,primera
126,mucho  
127,mientras
128,además  
129,quien
130,momento  
131,millones
132,esto
133,españa 
134,hombre 
135,están
136,pues 
137,hoy 
138,lugar
139,madrid 
140,nacional
141,trabajo
142,otras
143,mejor
144,nuevo 
145,decir
146,algunos 
147,entonces 
148,todas
149,días
150,debe 
151,política
152,cómo 
153,casi
154,toda
155,tal
156,luego
157,pasado 
158,primer
159,medio 
160,va
161,estas
162,sea 
163,tenía
164,nunca 
165,poder
166,aquí
167,ver
168,veces 
169,embargo 
170,partido
171,personas 
172,grupo
173,cuenta 
174,pueden 
175,tienen
176,misma  
177,nueva 
178,cual
179,fueron
180,mujer
181,frente
182,josé
183,tras
184,cosas 
185,fin
186,ciudad
187,he
188,social
189,manera 
190,tener
191,sistema 
192,será
193,historia
194,muchos  
195,juan
196,tipo
197,cuatro
198,dentro
199,nuestro
200,punto
201,dice
202,ello
203,cualquier
204,noche 
205,aún 
206,agua 
207,parece 
208,haber
209,situación
210,fuera
211,bajo
212,grandes 
213,nuestra
214,ejemplo 
215,acuerdo 
216,habían
217,usted
218,estados 
219,hizo
220,nadie
221,países
222,horas
223,posible
224,tarde
225,ley
226,importante
227,guerra
228,desarrollo
229,proceso 
230,realidad
231,sentido
232,lado
233,mí
234,tu
235,cambio 
236,allí
237,mano 
238,eran
239,estar
240,san 
241,número 
242,sociedad 
243,unas 
244,centro
245,padre
246,gente
247,final
248,relación
249,cuerpo 
250,obra
251,incluso
252,través
253,último
254,madre 
255,mis 
256,modo 
257,problemas 
258,cinco
259,carlos
260,hombres 
261,información
262,ojos
263,muerte 
264,nombre 
265,algunas 
266,público
267,mujeres 
268,siglo
269,todavía
270,meses  
271,mañana  
272,esos 
273,nosotros
274,hora
275,muchas  
276,pueblo
277,alguna
278,dar
279,problema 
280,don 
281,da
282,tú
283,derecho 
284,verdad
285,maría
286,unidos
287,podría
288,sería
289,junto
290,cabeza 
291,aquel
292,luis
293,cuanto 
294,tierra
295,equipo
296,segundo 
297,director
298,dicho
299,cierto
300,casos 
301,manos  
302,nivel
303,podía
304,familia
305,largo
306,partir
307,falta
308,llegar
309,propio
310,ministro
311,cosa 
312,primero
313,seguridad
314,hemos  
315,mal 
316,trata
317,algún
318,tuvo
319,respecto
320,semana  
321,varios
322,real
323,sé
324,voz
325,paso 
326,señor
327,mil
328,quienes 
329,proyecto
330,mercado 
331,mayoría 
332,luz
333,claro
334,iba
335,éste
336,pesetas 
337,orden
338,español 
339,buena 
340,quiere
341,aquella
342,programa 
343,palabras
344,internacional
345,van
346,esas 
347,segunda 
348,empresa 
349,puesto 
350,ahí
351,propia
352,m 
353,libro
354,igual
355,político
356,persona 
357,últimos
358,ellas
359,total
360,creo
361,tengo
362,dios
363,c
364,española 
365,condiciones 
366,méxico 
367,fuerza
368,solo
369,único
370,acción
371,amor 
372,policía
373,puerta
374,pesar
